date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:52:25	1047673/1047673	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Nov%202024%2017:36:07%20GMT	https://www.dominos.com/cms/assets/9d3473c5-4883-4ecf-a1dd-3f93799ee17f?modified_on=2024-02-11T03:03:23.710Z	C:/Aali/dominos/www.dominos.com/cms/assets/9d3473c5-4883-4ecf-a1dd-3f93799ee17f9d0a.png	(from https://www.dominos.com/menu/bread)
18:52:27	157572/157572	---MCZ	200	added ('OK')	text/html	etag:%22vy4avtvdaw1t54%22	https://www.dominos.com/menu/bread/F_SPBRD/pepperoni_stuffed_cheesy_bread	C:/Aali/dominos/www.dominos.com/menu/bread/F_SPBRD/pepperoni_stuffed_cheesy_bread.html	(from https://www.dominos.com/menu/bread)
18:52:27	1149344/1149344	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Nov%202024%2017:36:09%20GMT	https://www.dominos.com/cms/assets/4344cc7a-695f-4f22-8f83-5d4065d06f33?modified_on=2024-02-11T03:02:09.693Z	C:/Aali/dominos/www.dominos.com/cms/assets/4344cc7a-695f-4f22-8f83-5d4065d06f3377e7.png	(from https://www.dominos.com/menu/bread)
18:52:29	157572/157572	---MCZ	200	added ('OK')	text/html	etag:%22rk7wl0d3zw1t51%22	https://www.dominos.com/menu/bread/F_SSBRD/spinach_feta_stuffed_cheesy_bread	C:/Aali/dominos/www.dominos.com/menu/bread/F_SSBRD/spinach_feta_stuffed_cheesy_bread.html	(from https://www.dominos.com/menu/bread)
18:52:29	1015174/1015174	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Nov%202024%2018:03:49%20GMT	https://www.dominos.com/cms/assets/9f691dae-8c6d-4a1b-873b-349a3b59eb15?modified_on=2024-02-11T03:03:24.739Z	C:/Aali/dominos/www.dominos.com/cms/assets/9f691dae-8c6d-4a1b-873b-349a3b59eb151a8f.png	(from https://www.dominos.com/menu/bread)
18:52:32	74530/74530	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Sep%202025%2013:27:16%20GMT	https://www.dominos.com/cms/assets/d9a81a88-c0ad-46a4-be4d-4ae7a481d145?modified_on=2025-06-17T13%3A54%3A50.556Z&im=Resize%3D%28258%2C258%29%3BCrop%2Crect%3D%2838%2C18%2C234%2C234%29%2CallowExpansion	C:/Aali/dominos/www.dominos.com/cms/assets/d9a81a88-c0ad-46a4-be4d-4ae7a481d1459ed4.png	(from https://www.dominos.com/menu/bread)
18:52:32	157651/157651	---MCZ	200	added ('OK')	text/html	etag:%221q3n4qawiz1t6p%22	https://www.dominos.com/menu/bread/F_SBBRD/bacon_jalapeno_stuffed_cheesy_bread	C:/Aali/dominos/www.dominos.com/menu/bread/F_SBBRD/bacon_jalapeno_stuffed_cheesy_bread.html	(from https://www.dominos.com/menu/bread)
18:52:35	157548/157548	---MCZ	200	added ('OK')	text/html	etag:%22l8npekhdiu1t4r%22	https://www.dominos.com/menu/bread/F_CBITES/cinnamon_bread_bites	C:/Aali/dominos/www.dominos.com/menu/bread/F_CBITES/cinnamon_bread_bites.html	(from https://www.dominos.com/menu/bread)
18:52:35	248658/248658	---MCZ	200	added ('OK')	text/html	etag:%2213nodpzbnpc3o5y%22	https://www.dominos.com/en/menu/wings	C:/Aali/dominos/www.dominos.com/en/menu/wings.html	(from https://www.dominos.com/menu/wings)
18:52:37	247617/247617	---MCZ	200	added ('OK')	text/html	etag:%2210dv954q0l23nkh%22	https://www.dominos.com/menu/wings?type=order_delivery	C:/Aali/dominos/www.dominos.com/menu/wings32f4.html	(from https://www.dominos.com/menu/wings)
